response_id,timestamp,region,age_group,gender,occupation,education_level,preferred_tool,satisfaction_rating,would_recommend,support_quality,feature_importance,usage_frequency,feedback
RES_0001,2024-03-22 03:01:00,East,25-34,Female,Professional,High School,R,3,Definitely Yes,Excellent,Integration,Weekly,Average experience.
RES_0002,2024-01-12 18:27:00,North,18-24,Male,Professional,Bachelor's,Excel,4,Definitely Yes,Very Poor,Integration,Daily,Highly recommended for beginners.
RES_0003,2024-03-18 00:35:00,South,55+,Prefer not to say,Professional,PhD,Python,3,Not Sure,Good,Performance,Weekly,Average experience.
RES_0004,2024-02-05 00:48:00,South,45-54,Non-binary,Business Owner,Bachelor's,Python,3,Probably Yes,Good,Price,Monthly,Could use some improvements.
RES_0005,2024-02-13 03:05:00,West,18-24,Non-binary,Business Owner,Other,Python,5,Definitely Yes,Good,Ease of Use,Daily,Love the features and support. Python ecosystem is amazing!
RES_0006,2024-01-06 23:29:00,Central,18-24,Prefer not to say,Student,Other,SPSS,4,Probably No,Poor,Ease of Use,Daily,Love the features and support.
RES_0007,2024-03-21 19:56:00,East,55+,Female,Student,High School,Excel,3,Probably Yes,Excellent,Integration,Daily,Could use some improvements.
RES_0008,2024-02-07 02:54:00,South,18-24,Prefer not to say,Business Owner,PhD,Tableau,5,Definitely Yes,Average,Price,Daily,Love the features and support.
RES_0009,2024-01-21 11:22:00,South,35-44,Male,Unemployed,Bachelor's,SPSS,4,Not Sure,Excellent,Ease of Use,Daily,Highly recommended for beginners.
RES_0010,2024-02-01 05:29:00,West,35-44,Female,Business Owner,High School,Python,5,Definitely Yes,Excellent,Integration,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0011,2024-01-05 10:25:00,East,18-24,Female,Unemployed,Master's,Python,4,Probably Yes,Excellent,Security,Monthly,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0012,2024-03-24 15:25:00,West,25-34,Non-binary,Professional,Bachelor's,Python,5,Definitely Yes,Average,Support,Monthly,Highly recommended for beginners. Python ecosystem is amazing!
RES_0013,2024-03-09 08:47:00,Central,45-54,Prefer not to say,Business Owner,Bachelor's,Power BI,3,Definitely Yes,Poor,Price,Daily,Could use some improvements.
RES_0014,2024-03-06 15:05:00,North,18-24,Female,Professional,PhD,Python,4,Definitely Yes,Good,Support,Weekly,Highly recommended for beginners. Python ecosystem is amazing!
RES_0015,2024-01-09 12:24:00,Central,45-54,Non-binary,Unemployed,High School,Power BI,3,Not Sure,Average,Price,Monthly,"It's okay, does the job."
RES_0016,2024-03-28 17:48:00,East,35-44,Male,Business Owner,PhD,R,4,Definitely Yes,Good,Ease of Use,Daily,Excellent tool for data analysis.
RES_0017,2024-02-28 00:46:00,East,55+,Female,Unemployed,High School,Python,3,Not Sure,Poor,Performance,Weekly,Decent product overall.
RES_0018,2024-03-22 16:38:00,South,25-34,Non-binary,Professional,Other,Power BI,5,Definitely Yes,Excellent,Performance,Daily,Highly recommended for beginners.
RES_0019,2024-01-01 19:20:00,West,18-24,Male,Business Owner,Master's,Power BI,4,Not Sure,Average,Ease of Use,Rarely,Excellent tool for data analysis.
RES_0020,2024-01-08 07:56:00,Central,18-24,Male,Retired,High School,Excel,5,Probably Yes,Poor,Performance,Daily,Highly recommended for beginners.
RES_0021,2024-01-17 04:42:00,West,55+,Female,Business Owner,Other,Python,4,Not Sure,Excellent,Price,Weekly,Highly recommended for beginners. Python ecosystem is amazing!
RES_0022,2024-02-24 06:59:00,Central,25-34,Non-binary,Retired,Master's,R,4,Definitely Yes,Good,Security,Daily,Best tool I've used so far.
RES_0023,2024-03-07 14:07:00,South,25-34,Male,Business Owner,High School,Excel,4,Probably No,Very Poor,Performance,Weekly,Highly recommended for beginners.
RES_0024,2024-03-11 07:37:00,South,18-24,Male,Student,Bachelor's,R,5,Definitely Yes,Excellent,Price,Weekly,"Great product, very user-friendly!"
RES_0025,2024-01-05 10:04:00,Central,25-34,Non-binary,Retired,Bachelor's,Python,5,Definitely Yes,Excellent,Price,Never,Highly recommended for beginners. Python ecosystem is amazing!
RES_0026,2024-01-17 23:59:00,Central,55+,Prefer not to say,Professional,PhD,R,3,Not Sure,Average,Ease of Use,Monthly,Works as expected.
RES_0027,2024-01-25 03:06:00,West,35-44,Prefer not to say,Retired,PhD,Python,5,Definitely Yes,Excellent,Integration,Daily,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0028,2024-03-27 20:41:00,North,18-24,Prefer not to say,Business Owner,High School,Python,5,Definitely Yes,Good,Support,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0029,2024-01-25 06:34:00,West,25-34,Prefer not to say,Professional,Master's,R,4,Definitely Yes,Average,Performance,Rarely,Best tool I've used so far.
RES_0030,2024-02-01 02:28:00,Central,18-24,Male,Unemployed,High School,Python,4,Definitely Yes,Excellent,Security,Rarely,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0031,2024-01-31 05:26:00,West,45-54,Female,Retired,High School,Python,4,Definitely Yes,Good,Performance,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0032,2024-02-18 00:24:00,East,45-54,Non-binary,Retired,Other,Power BI,4,Not Sure,Average,Performance,Daily,Best tool I've used so far.
RES_0033,2024-01-20 06:18:00,South,18-24,Male,Business Owner,High School,Tableau,5,Definitely Yes,Excellent,Integration,Weekly,"Great product, very user-friendly!"
RES_0034,2024-03-15 15:32:00,Central,25-34,Male,Unemployed,High School,Python,5,Definitely Yes,Average,Ease of Use,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0035,2024-01-09 19:04:00,South,45-54,Male,Unemployed,Bachelor's,Excel,4,Definitely Yes,Average,Performance,Daily,Highly recommended for beginners.
RES_0036,2024-03-17 01:39:00,North,45-54,Non-binary,Business Owner,Bachelor's,Excel,4,Probably Yes,Average,Support,Weekly,Love the features and support.
RES_0037,2024-01-31 08:25:00,South,35-44,Prefer not to say,Business Owner,High School,Python,4,Definitely Yes,Very Poor,Price,Rarely,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0038,2024-02-28 19:36:00,North,18-24,Female,Unemployed,Master's,Excel,4,Probably Yes,Good,Price,Weekly,Excellent tool for data analysis.
RES_0039,2024-02-14 02:56:00,South,35-44,Non-binary,Professional,PhD,Python,4,Definitely Yes,Average,Ease of Use,Rarely,Highly recommended for beginners. Python ecosystem is amazing!
RES_0040,2024-03-31 09:39:00,Central,18-24,Non-binary,Student,Bachelor's,SPSS,5,Not Sure,Good,Ease of Use,Rarely,Love the features and support.
RES_0041,2024-01-15 03:47:00,Central,25-34,Non-binary,Business Owner,Other,Excel,4,Definitely Yes,Poor,Performance,Daily,Excellent tool for data analysis.
RES_0042,2024-02-13 06:43:00,East,55+,Prefer not to say,Business Owner,High School,Excel,3,Definitely No,Average,Price,Daily,"It's okay, does the job."
RES_0043,2024-03-22 13:53:00,East,18-24,Male,Business Owner,Bachelor's,Excel,5,Probably Yes,Average,Support,Daily,Love the features and support.
RES_0044,2024-01-21 23:28:00,Central,45-54,Male,Student,High School,R,3,Probably No,Poor,Integration,Rarely,Could use some improvements.
RES_0045,2024-03-10 01:53:00,East,55+,Female,Retired,Bachelor's,R,4,Probably Yes,Average,Integration,Rarely,"Great product, very user-friendly!"
RES_0046,2024-02-09 11:57:00,North,35-44,Female,Professional,High School,Python,4,Definitely Yes,Excellent,Price,Daily,Love the features and support. Python ecosystem is amazing!
RES_0047,2024-03-12 13:39:00,South,25-34,Female,Professional,PhD,Excel,3,Not Sure,Excellent,Ease of Use,Monthly,"It's okay, does the job."
RES_0048,2024-01-23 23:59:00,East,45-54,Female,Business Owner,Bachelor's,R,4,Definitely Yes,Average,Integration,Daily,"Great product, very user-friendly!"
RES_0049,2024-02-18 01:54:00,West,25-34,Female,Retired,Master's,Excel,5,Probably Yes,Average,Security,Weekly,Love the features and support.
RES_0050,2024-01-30 07:01:00,South,45-54,Non-binary,Business Owner,High School,R,4,Probably Yes,Good,Price,Daily,Love the features and support.
RES_0051,2024-02-14 20:32:00,West,55+,Non-binary,Student,High School,Python,3,Definitely Yes,Excellent,Ease of Use,Weekly,Decent product overall.
RES_0052,2024-01-23 18:16:00,North,18-24,Prefer not to say,Business Owner,Master's,Excel,5,Probably Yes,Excellent,Security,Monthly,Best tool I've used so far.
RES_0053,2024-03-18 16:07:00,West,55+,Female,Business Owner,High School,Excel,2,Not Sure,Good,Integration,Daily,Some features are buggy. Excel is too limiting for big data.
RES_0054,2024-01-01 16:59:00,Central,25-34,Non-binary,Retired,High School,Python,5,Definitely Yes,Excellent,Integration,Monthly,Love the features and support. Python ecosystem is amazing!
RES_0055,2024-03-20 10:42:00,North,35-44,Non-binary,Retired,Master's,R,4,Definitely Yes,Excellent,Price,Daily,Best tool I've used so far.
RES_0056,2024-03-30 09:35:00,South,25-34,Prefer not to say,Retired,Bachelor's,Excel,4,Probably Yes,Excellent,Price,Weekly,Highly recommended for beginners.
RES_0057,2024-03-13 09:25:00,Central,18-24,Non-binary,Business Owner,Bachelor's,Excel,4,Definitely Yes,Excellent,Price,Daily,Best tool I've used so far.
RES_0058,2024-03-15 19:41:00,East,45-54,Prefer not to say,Retired,Bachelor's,Excel,4,Not Sure,Average,Price,Weekly,Highly recommended for beginners.
RES_0059,2024-03-01 23:10:00,North,35-44,Non-binary,Student,Bachelor's,R,4,Definitely Yes,Very Poor,Integration,Daily,Love the features and support.
RES_0060,2024-01-29 06:09:00,North,18-24,Female,Retired,Other,Python,5,Definitely Yes,Excellent,Ease of Use,Weekly,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0061,2024-02-28 13:56:00,Central,25-34,Prefer not to say,Retired,PhD,Python,5,Definitely Yes,Poor,Performance,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0062,2024-01-19 20:44:00,North,18-24,Prefer not to say,Professional,Bachelor's,Excel,4,Probably Yes,Poor,Support,Monthly,Highly recommended for beginners.
RES_0063,2024-02-29 01:35:00,South,18-24,Prefer not to say,Professional,PhD,R,4,Probably Yes,Very Poor,Performance,Daily,Highly recommended for beginners.
RES_0064,2024-03-12 19:20:00,West,55+,Prefer not to say,Unemployed,PhD,Tableau,3,Probably Yes,Poor,Integration,Weekly,Could use some improvements.
RES_0065,2024-03-01 14:16:00,South,35-44,Prefer not to say,Professional,Master's,Power BI,3,Definitely No,Average,Integration,Daily,Works as expected.
RES_0066,2024-01-10 22:18:00,South,35-44,Non-binary,Business Owner,Other,Power BI,4,Definitely Yes,Excellent,Security,Daily,"Great product, very user-friendly!"
RES_0067,2024-01-18 04:14:00,West,25-34,Female,Student,PhD,Python,5,Definitely Yes,Excellent,Ease of Use,Weekly,Best tool I've used so far. Python ecosystem is amazing!
RES_0068,2024-02-12 17:29:00,West,18-24,Female,Retired,PhD,Tableau,5,Probably Yes,Average,Ease of Use,Weekly,Highly recommended for beginners.
RES_0069,2024-03-30 00:54:00,Central,45-54,Prefer not to say,Student,Master's,Python,3,Probably No,Good,Ease of Use,Daily,Decent product overall.
RES_0070,2024-02-19 13:34:00,Central,55+,Female,Retired,Bachelor's,Power BI,4,Probably Yes,Excellent,Ease of Use,Monthly,Love the features and support.
RES_0071,2024-02-25 15:01:00,West,35-44,Prefer not to say,Professional,PhD,Python,4,Definitely Yes,Excellent,Security,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0072,2024-03-20 17:01:00,West,55+,Male,Student,PhD,Python,4,Probably Yes,Poor,Security,Monthly,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0073,2024-02-29 05:03:00,East,45-54,Non-binary,Professional,PhD,R,2,Definitely No,Excellent,Performance,Daily,Customer support could be better.
