response_id,timestamp,region,age_group,gender,occupation,education_level,preferred_tool,satisfaction_rating,would_recommend,support_quality,feature_importance,usage_frequency,feedback,date,hour,day_of_week,month,satisfaction_category,feedback_length,recommendation_score,support_score
Res_0001,2024-03-22 03:01:00,East,25-34,Female,Professional,High School,R,3,Definitely Yes,Excellent,Integration,Weekly,Average experience.,2024-03-22,3,Friday,March,Medium,19,5,5
Res_0002,2024-01-12 18:27:00,North,18-24,Male,Professional,Bachelor'S,Excel,4,Definitely Yes,Very Poor,Integration,Daily,Highly recommended for beginners.,2024-01-12,18,Friday,January,High,33,5,1
Res_0003,2024-03-18 00:35:00,South,55+,Prefer Not To Say,Professional,Phd,Python,3,Not Sure,Good,Performance,Weekly,Average experience.,2024-03-18,0,Monday,March,Medium,19,3,4
Res_0004,2024-02-05 00:48:00,South,45-54,Non-Binary,Business Owner,Bachelor'S,Python,3,Probably Yes,Good,Price,Monthly,Could use some improvements.,2024-02-05,0,Monday,February,Medium,28,4,4
Res_0005,2024-02-13 03:05:00,West,18-24,Non-Binary,Business Owner,Other,Python,5,Definitely Yes,Good,Ease Of Use,Daily,Love the features and support. Python ecosystem is amazing!,2024-02-13,3,Tuesday,February,High,59,5,4
Res_0006,2024-01-06 23:29:00,Central,18-24,Prefer Not To Say,Student,Other,Spss,4,Probably No,Poor,Ease Of Use,Daily,Love the features and support.,2024-01-06,23,Saturday,January,High,30,2,2
Res_0007,2024-03-21 19:56:00,East,55+,Female,Student,High School,Excel,3,Probably Yes,Excellent,Integration,Daily,Could use some improvements.,2024-03-21,19,Thursday,March,Medium,28,4,5
Res_0008,2024-02-07 02:54:00,South,18-24,Prefer Not To Say,Business Owner,Phd,Tableau,5,Definitely Yes,Average,Price,Daily,Love the features and support.,2024-02-07,2,Wednesday,February,High,30,5,3
Res_0009,2024-01-21 11:22:00,South,35-44,Male,Unemployed,Bachelor'S,Spss,4,Not Sure,Excellent,Ease Of Use,Daily,Highly recommended for beginners.,2024-01-21,11,Sunday,January,High,33,3,5
Res_0010,2024-02-01 05:29:00,West,35-44,Female,Business Owner,High School,Python,5,Definitely Yes,Excellent,Integration,Daily,Excellent tool for data analysis. Python ecosystem is amazing!,2024-02-01,5,Thursday,February,High,62,5,5
Res_0011,2024-01-05 10:25:00,East,18-24,Female,Unemployed,Master'S,Python,4,Probably Yes,Excellent,Security,Monthly,Excellent tool for data analysis. Python ecosystem is amazing!,2024-01-05,10,Friday,January,High,62,4,5
Res_0012,2024-03-24 15:25:00,West,25-34,Non-Binary,Professional,Bachelor'S,Python,5,Definitely Yes,Average,Support,Monthly,Highly recommended for beginners. Python ecosystem is amazing!,2024-03-24,15,Sunday,March,High,62,5,3
Res_0013,2024-03-09 08:47:00,Central,45-54,Prefer Not To Say,Business Owner,Bachelor'S,Power Bi,3,Definitely Yes,Poor,Price,Daily,Could use some improvements.,2024-03-09,8,Saturday,March,Medium,28,5,2
Res_0014,2024-03-06 15:05:00,North,18-24,Female,Professional,Phd,Python,4,Definitely Yes,Good,Support,Weekly,Highly recommended for beginners. Python ecosystem is amazing!,2024-03-06,15,Wednesday,March,High,62,5,4
Res_0015,2024-01-09 12:24:00,Central,45-54,Non-Binary,Unemployed,High School,Power Bi,3,Not Sure,Average,Price,Monthly,"It's okay, does the job.",2024-01-09,12,Tuesday,January,Medium,24,3,3
